Outcome,Method,Category,TPR_gap_mean,TPR_gap_SD,TPR_gap_95CI,AUROC_mean,AUROC_SD,AUROC_95CI,Brier_mean,Sign_k_N,Pct_Reduction,AUROC_gap_Q
EUROD,GridSearch_TPR,In-processing,0.1346,0.0158,0.0197,0.8155,0.0296,0.0367,0.1418,5/5,19.5,0.005
EUROD,AdvDebiasing,In-processing,0.1005,0.0238,0.0296,0.7786,0.0032,0.004,0.1763,5/5,39.9,0.0115
EUROD,EqOdds_PP,Post-processing,0.0475,0.0441,0.0547,0.8299,0.0019,0.0023,0.136,5/5,71.6,0.0029
EUROD,SampleReweighting,Pre-processing,0.1832,0.033,0.041,0.8281,0.0027,0.0034,0.1367,0/5,-9.6,0.0069
EUROD,JTT,In-processing,0.0387,0.0128,0.0159,0.6616,0.0135,0.0168,0.1755,5/5,76.8,0.0194
EUROD,DIR,Pre-processing,0.1599,0.021,0.026,0.8292,0.0016,0.002,0.1364,3/5,4.4,0.0055
EUROD,ThreshOpt_EO,Post-processing,0.0494,0.0152,0.0189,0.8299,0.0019,0.0023,0.136,5/5,70.5,0.0029
EUROD,CorrelationRemover,Pre-processing,0.1795,0.0279,0.0347,0.8295,0.002,0.0025,0.1363,1/5,-7.4,0.0053
EUROD,ExpGrad_TPR,In-processing,0.0187,0.0178,0.0221,0.8194,0.0009,0.0011,0.1391,5/5,88.8,0.0038
EUROD,Reweighing,Pre-processing,0.1192,0.0328,0.0408,0.8296,0.0017,0.0021,0.1362,5/5,28.7,0.0048
EUROD,FairConstraints,In-processing,0.0178,0.0114,0.0141,0.8181,0.0039,0.0049,0.1398,5/5,89.3,0.0125
EUROD,ThreshOpt_TPR,Post-processing,0.0384,0.0339,0.042,0.8299,0.0019,0.0023,0.136,5/5,77.0,0.0029
EUROD,GerryFairClassifier,In-processing,0.2082,0.0278,0.0345,0.8299,0.0019,0.0023,0.136,0/5,-24.6,0.0029
EUROD,GroupCalibration,Post-processing,0.1862,0.0316,0.0393,0.8282,0.0023,0.0029,0.1374,0/5,-11.4,0.0029
EUROD,ExpGrad_EO,In-processing,0.0197,0.0128,0.0159,0.8194,0.0011,0.0014,0.1391,5/5,88.2,0.0036
EUROD,ThreshOpt_DP,Post-processing,0.0867,0.0547,0.0679,0.8299,0.0019,0.0023,0.136,4/5,48.1,0.0029
EUROD,GridSearch_EO,In-processing,0.0617,0.016,0.0199,0.749,0.0086,0.0107,0.1855,5/5,63.1,0.0337
EUROD,GroupDRO,In-processing,0.1744,0.0337,0.0418,0.8305,0.002,0.0025,0.1357,1/5,-4.4,0.0032
EUROD,FairSMOTE,Augmentation,0.1441,0.0303,0.0376,0.8302,0.0022,0.0027,0.1358,5/5,13.8,0.0057
EUROD,ExpGrad_DP,In-processing,0.1061,0.0101,0.0125,0.8084,0.001,0.0013,0.1425,5/5,36.6,0.0025
EUROD,PrejudiceRemover,In-processing,0.1067,0.0394,0.0489,0.8131,0.0037,0.0046,0.1438,5/5,36.2,0.0687
EUROD,DecoupledClassifier,In-processing,0.1873,0.0239,0.0296,0.8207,0.0035,0.0044,0.1399,0/5,-12.0,0.0091
EUROD,FairGBM,In-processing,0.1524,0.0262,0.0326,0.8294,0.0018,0.0022,0.1362,4/5,8.8,0.0052
EUROD,RejectOption,Post-processing,0.0691,0.0194,0.0241,0.8299,0.0019,0.0023,0.136,5/5,58.7,0.0029
EUROD,LFR,Pre-processing,0.1898,0.119,0.1477,0.5472,0.0599,0.0744,0.3001,2/5,-13.5,0.0128
EUROD,CTGAN,Augmentation,0.1694,0.0254,0.0316,0.8297,0.0021,0.0026,0.1361,2/5,-1.4,0.0043
LS,GridSearch_TPR,In-processing,0.0485,0.0367,0.0456,0.7335,0.0235,0.0292,0.1817,5/5,83.9,0.0488
LS,AdvDebiasing,In-processing,0.1434,0.022,0.0273,0.7455,0.0032,0.004,0.2068,5/5,52.4,0.0357
LS,EqOdds_PP,Post-processing,0.0668,0.0161,0.02,0.8049,0.0054,0.0067,0.1558,5/5,77.8,0.0331
LS,SampleReweighting,Pre-processing,0.298,0.0335,0.0416,0.8023,0.005,0.0063,0.1567,2/5,1.0,0.035
LS,JTT,In-processing,0.0414,0.0371,0.0461,0.5635,0.0197,0.0244,0.2036,5/5,86.3,0.0799
LS,DIR,Pre-processing,0.2736,0.0205,0.0254,0.8046,0.0041,0.0051,0.156,5/5,9.1,0.0336
LS,ThreshOpt_EO,Post-processing,0.042,0.0376,0.0466,0.8049,0.0054,0.0067,0.1558,5/5,86.1,0.0331
LS,CorrelationRemover,Pre-processing,0.2776,0.0251,0.0311,0.804,0.0048,0.006,0.1563,4/5,7.8,0.0365
LS,ExpGrad_TPR,In-processing,0.0187,0.0117,0.0145,0.7772,0.0038,0.0047,0.1651,5/5,93.8,0.0479
LS,Reweighing,Pre-processing,0.1835,0.0231,0.0287,0.8035,0.0043,0.0053,0.1564,5/5,39.1,0.0325
LS,FairConstraints,In-processing,0.0597,0.045,0.0559,0.7551,0.0101,0.0125,0.1718,5/5,80.2,0.0306
LS,ThreshOpt_TPR,Post-processing,0.0301,0.0255,0.0316,0.8049,0.0054,0.0067,0.1558,5/5,90.0,0.0331
LS,GerryFairClassifier,In-processing,0.3068,0.0171,0.0212,0.8049,0.0054,0.0067,0.1558,2/5,-1.9,0.0331
LS,GroupCalibration,Post-processing,0.3345,0.0324,0.0403,0.8032,0.0057,0.007,0.1572,1/5,-11.1,0.0331
LS,ExpGrad_EO,In-processing,0.017,0.0156,0.0193,0.775,0.0039,0.0048,0.1657,5/5,94.4,0.0451
LS,ThreshOpt_DP,Post-processing,0.1425,0.0463,0.0575,0.8049,0.0054,0.0067,0.1558,5/5,52.7,0.0331
LS,GridSearch_EO,In-processing,0.1351,0.0647,0.0804,0.7158,0.0084,0.0105,0.1991,5/5,55.1,0.0278
LS,GroupDRO,In-processing,0.3045,0.0205,0.0254,0.805,0.0053,0.0065,0.1558,1/5,-1.1,0.0346
LS,FairSMOTE,Augmentation,0.2527,0.0282,0.035,0.8035,0.0041,0.0051,0.1563,5/5,16.1,0.0342
LS,ExpGrad_DP,In-processing,0.1332,0.0324,0.0403,0.756,0.0046,0.0057,0.1715,5/5,55.8,0.0477
LS,PrejudiceRemover,In-processing,0.2942,0.0239,0.0296,0.7972,0.0039,0.0048,0.1587,2/5,2.3,0.0239
LS,DecoupledClassifier,In-processing,0.2959,0.0369,0.0459,0.7935,0.0051,0.0064,0.1602,2/5,1.7,0.0284
LS,FairGBM,In-processing,0.2654,0.0395,0.0491,0.804,0.0045,0.0055,0.1561,4/5,11.9,0.0277
