Method,Category,A_at_train,A_at_inference,A_for_threshold,Code_requires_A,Deployable
Reweighing,Pre-processing,Yes,No,No,No,Yes
DIR,Pre-processing,Yes,Yes,No,Yes,No
LFR,Pre-processing,Yes,Yes,No,Yes,No
CorrelationRemover,Pre-processing,Yes,Yes,No,Yes,No
SampleReweighting,Pre-processing,Yes,No,No,No,Yes
PrejudiceRemover,In-processing,Yes,Yes,No,Yes,No
ExpGrad_DP,In-processing,Yes,No,No,No,Yes
ExpGrad_EO,In-processing,Yes,No,No,No,Yes
ExpGrad_TPR,In-processing,Yes,No,No,No,Yes
GridSearch_TPR,In-processing,Yes,No,No,No,Yes
GridSearch_EO,In-processing,Yes,No,No,No,Yes
AdvDebiasing,In-processing,Yes,Yes,No,Yes,No
FairGBM,In-processing,Yes,No,No,No,Yes
FairConstraints,In-processing,Yes,No,No,No,Yes
DecoupledClassifier,In-processing,Yes,Yes,No,Yes,No
GerryFairClassifier,In-processing,Yes,Yes,No,Yes,No
JTT,In-processing,Yes,No,No,No,Yes
GroupDRO,In-processing,Yes,No,No,No,Yes
ThreshOpt_TPR,Post-processing,Yes,Yes,Yes,Yes,No
ThreshOpt_EO,Post-processing,Yes,Yes,Yes,Yes,No
ThreshOpt_DP,Post-processing,Yes,Yes,Yes,Yes,No
EqOdds_PP,Post-processing,Yes,Yes,Yes,Yes,No
RejectOption,Post-processing,Yes,Yes,Yes,Yes,No
GroupCalibration,Post-processing,Yes,Yes,No,Yes,No
CTGAN,Augmentation,Yes,No,No,No,Yes
FairSMOTE,Augmentation,Yes,No,No,No,Yes
