Fold,Outcome,Method,AUROC,Sensitivity,Specificity,TPR_gap,TPR_gap_bin,TPR_gap_signed,Brier,AUROC_gap_Q,Spec_at_Sens80,Spec_at_Sens90,PR_AUC
0,EUROD,BASELINE,0.8304,0.7314,0.7707,0.1725,0.1066,0.1725,0.1366,0.0028,0.6897,0.5411,0.6675
0,EUROD,Reweighing,0.8297,0.7428,0.7583,0.1314,0.0719,0.1314,0.1367,0.0018,0.6908,0.5239,0.6659
0,EUROD,DIR,0.8291,0.6719,0.8073,0.167,0.0791,0.167,0.1374,0.0039,0.6864,0.5357,0.6633
0,EUROD,LFR,0.5123,0.1025,0.9244,0.0822,0.0386,0.0822,0.3289,0.0003,0.1867,0.0887,0.2843
0,EUROD,CorrelationRemover,0.8306,0.7296,0.7686,0.1799,0.1014,0.1799,0.1367,0.0019,0.69,0.539,0.6664
0,EUROD,PrejudiceRemover,0.8093,0.7546,0.7111,0.1591,0.1246,0.1591,0.1467,0.0942,0.6534,0.4892,0.6129
0,EUROD,ExpGrad_DP,0.8096,0.7395,0.7251,0.0979,0.076,-0.0979,0.1424,0.0004,0.6452,0.461,0.6403
0,EUROD,ExpGrad_EO,0.8209,0.6888,0.7934,0.0025,0.0121,-0.0025,0.139,0.004,0.6741,0.4979,0.6552
0,EUROD,ExpGrad_TPR,0.8208,0.7032,0.7838,0.0069,0.0044,0.0069,0.139,0.0045,0.6745,0.4984,0.655
0,EUROD,GridSearch_TPR,0.8308,0.7748,0.7292,0.1302,0.0912,0.1302,0.1367,0.0059,0.7001,0.5308,0.6661
0,EUROD,GridSearch_EO,0.7466,0.7179,0.6518,0.0562,0.0233,0.0562,0.1902,0.0023,0.5345,0.3494,0.5244
0,EUROD,AdvDebiasing,0.7767,0.6514,0.7591,0.1244,0.0371,0.1244,0.1766,0.0114,0.6034,0.3827,0.5869
0,EUROD,FairGBM,0.8313,0.7428,0.76,0.1439,0.0749,0.1439,0.1363,0.003,0.6984,0.5279,0.668
0,EUROD,FairConstraints,0.821,0.6866,0.7907,0.0072,0.0267,0.0072,0.1391,0.0091,0.6745,0.5088,0.6559
0,EUROD,DecoupledClassifier,0.8229,0.7494,0.7326,0.1885,0.1096,0.1885,0.1404,0.0038,0.6862,0.5094,0.6486
0,EUROD,GerryFairClassifier,0.8304,0.4243,0.9408,0.2452,0.1352,0.2452,0.1366,0.0028,0.6897,0.5411,0.6675
0,EUROD,ThreshOpt_TPR,0.8304,0.4853,0.9188,0.0269,0.0366,0.0269,0.1366,0.0028,0.6897,0.5411,0.6675
0,EUROD,ThreshOpt_EO,0.8304,0.3237,0.9585,0.0641,0.0117,0.0641,0.1366,0.0028,0.6897,0.5411,0.6675
0,EUROD,ThreshOpt_DP,0.8304,0.4747,0.9211,0.0229,0.0371,-0.0229,0.1366,0.0028,0.6897,0.5411,0.6675
0,EUROD,EqOdds_PP,0.8304,0.6418,0.7902,0.0518,0.022,0.0518,0.1366,0.0028,0.6897,0.5411,0.6675
0,EUROD,RejectOption,0.8304,0.6363,0.8363,0.0841,0.0074,0.0841,0.1366,0.0028,0.6897,0.5411,0.6675
0,EUROD,CTGAN,0.8306,0.7208,0.7806,0.1773,0.1031,0.1773,0.1366,0.0043,0.6929,0.5261,0.6669
0,EUROD,FairSMOTE,0.8322,0.7109,0.79,0.1436,0.0706,0.1436,0.1359,0.0076,0.694,0.5337,0.6696
0,EUROD,SampleReweighting,0.8292,0.7208,0.7674,0.195,0.1271,0.195,0.137,0.0055,0.6978,0.5261,0.6655
0,EUROD,GroupCalibration,0.8288,0.7131,0.7825,0.1776,0.0911,0.1776,0.1383,0.0028,0.6881,0.5315,0.6653
0,EUROD,JTT,0.6493,0.3821,0.839,0.0304,0.0161,0.0304,0.1767,0.0249,0.3155,0.1867,0.4832
0,EUROD,GroupDRO,0.8314,0.7054,0.794,0.1847,0.1121,0.1847,0.1361,0.0029,0.6944,0.545,0.6701
0,LS,BASELINE,0.8107,0.682,0.776,0.3182,0.2059,0.3182,0.1539,0.0435,0.6538,0.4923,0.6625
0,LS,Reweighing,0.8086,0.7362,0.7237,0.1926,0.107,0.1926,0.1547,0.0352,0.6487,0.4733,0.6611
0,LS,DIR,0.8083,0.6787,0.77,0.2876,0.1677,0.2876,0.1548,0.0387,0.6503,0.4926,0.6601
0,LS,LFR,0.6067,0.3768,0.766,0.1284,0.0963,0.1284,0.2589,0.0084,0.316,0.1631,0.3949
0,LS,CorrelationRemover,0.8098,0.7404,0.7286,0.2497,0.162,0.2497,0.1543,0.0445,0.6575,0.4767,0.6611
0,LS,PrejudiceRemover,0.8006,0.6929,0.7571,0.2711,0.1429,0.2711,0.1577,0.0325,0.636,0.4527,0.6457
0,LS,ExpGrad_DP,0.7571,0.6774,0.7134,0.1526,0.1418,-0.1526,0.1708,0.0563,0.5495,0.3557,0.5939
0,LS,ExpGrad_EO,0.7782,0.7188,0.7044,0.0345,0.0448,-0.0345,0.1643,0.0591,0.5957,0.3973,0.6199
