Method,Category,AUROC,AUROC_sd,Bal_Acc,Sens,Spec,TPR_gap,TPR_gap_sd,Pct_Red,Sig
ExpGrad_TPR,In-processing,0.8628531417522016,0.004530791490302321,0.7790666007448767,0.7708061763291685,0.7873270251605848,0.020945151397035233,0.009723397780282243,92.52503759264987,★
ExpGrad_EO,In-processing,0.8626109187036384,0.004235395686374107,0.7776989591365524,0.7663530905510421,0.7890448277220627,0.02307179386854097,0.011611125608367611,91.76607566265255,★
RejectOption,Post-processing,0.8829972503769282,0.002941874670319386,0.7815459505894793,0.6976210331770646,0.865470868001894,0.02790977830457466,0.019341321901294756,90.03948266262222,★
ThreshOpt_EO,Post-processing,0.8829972503769282,0.002941874670319386,0.7405038240561685,0.5644131656449092,0.9165944824674277,0.034124604704389584,0.02261072199411961,87.82151857030252,★
ThreshOpt_TPR,Post-processing,0.8829972503769282,0.002941874670319386,0.7528515192708042,0.5913994055068835,0.9143036330347247,0.037234098352460075,0.01751528859544158,86.7117940481627,★
EqOdds_PP,Post-processing,0.8829972503769282,0.002941874670319386,0.7302936670177848,0.6504931128600016,0.8100942211755682,0.059954249366096724,0.031169603639601903,78.60336496608447,★
FairConstraints,In-processing,0.8246756089418646,0.008723460402171243,0.7464021733456738,0.734843055054694,0.7579612916366535,0.06930526325805522,0.04633025128710734,75.2661497801922,★
LFR,Pre-processing,0.6101540972060484,0.0751989063279862,0.5802211301812548,0.5805546790479625,0.5798875813145471,0.09978560879057474,0.09361094703324886,64.38824144237628,★
GridSearch_TPR,In-processing,0.8394052503618262,0.0272691793658545,0.7587411490653386,0.759440318229708,0.7580419799009693,0.10550568393919457,0.1095318564547759,62.346845517723125,★
AdvDebiasing,In-processing,0.8462650250892721,0.006046006161528245,0.763732407481033,0.7421561114528755,0.7853087035091906,0.10992798240657538,0.05916715320876889,60.768603653000554,★
GridSearch_EO,In-processing,0.7989916909343517,0.006848810410808972,0.7236958679233615,0.7151687888462273,0.7322229470004957,0.14080156667790905,0.10144701557469077,49.75035520811022,★
JTT,In-processing,0.8386005983142267,0.006701640822862964,0.7497297209605625,0.73849963849586,0.7609598034252649,0.14883093023029437,0.04302757453312085,46.88481417805,★
ExpGrad_DP,In-processing,0.8275996607134146,0.0061217603805328305,0.7477254591842282,0.7280001308132341,0.7674507875552224,0.175366417313038,0.018367145195165475,37.41475761725997,★
Reweighing,Pre-processing,0.8820502276708698,0.0032024217236783013,0.7950089130960272,0.807762925761722,0.7822549004303324,0.17692581749065156,0.03171797690080093,36.85823465475103,★
ThreshOpt_DP,Post-processing,0.8829972503769282,0.002941874670319386,0.7359517648468283,0.5641438936735892,0.9077596360200678,0.2325610806149654,0.0337245151183512,17.002971138434518,★
CorrelationRemover,Pre-processing,0.8828404927537603,0.00256946839491996,0.7950215465405529,0.782703352707834,0.807339740373272,0.24359447353274932,0.02960407240321873,13.065343965320247,★
FairGBM,In-processing,0.8823996064736122,0.003606133510361718,0.7968395089597141,0.7962639563578767,0.7974150615615516,0.24454037550384072,0.042538322089185246,12.72776790578661,★
DIR,Pre-processing,0.8828320067323912,0.002874897524227353,0.796411825182598,0.8042421715350402,0.7885814788301558,0.2463252451800761,0.010213629031355125,12.090778777421221,★
FairSMOTE,Augmentation,0.8817916995271091,0.002857568752745509,0.795559925044829,0.7988575717881815,0.7922622783014764,0.2473918682062613,0.029236670165080577,11.710119460502794,★
PrejudiceRemover,In-processing,0.878743749494794,0.00343269598810876,0.7930291004455515,0.7785821613174659,0.8074760395736371,0.25305970514450166,0.03210046083589199,9.687366449973867,★
DecoupledClassifier,In-processing,0.8773414927703881,0.003051287389422921,0.7912458179202375,0.7881566514994025,0.7943349843410725,0.2623924458902122,0.016605908063624754,6.356672634048237,
GroupDRO,In-processing,0.8829657764903132,0.0028651250536203135,0.7967481575290097,0.8002528319297426,0.7932434831282767,0.27313330594434027,0.0364600131899089,2.5234453822948484,
GerryFairClassifier,In-processing,0.8829972503769282,0.002941874670319386,0.7479080523428117,0.560490359594974,0.9353257450906494,0.2736418781408475,0.029956227606133968,2.341944758200376,
SampleReweighting,Pre-processing,0.8804736375703662,0.003463559071087491,0.7931985599070785,0.7856284868797861,0.8007686329343707,0.279969699945741,0.029328856645300824,0.08365455941552948,
BASELINE,Baseline,0.8829972503769282,0.002941874670319386,0.7953508698601048,0.7965308860652086,0.7941708536550011,0.28020410345394964,0.027626909223783448,0.0,
CTGAN,Augmentation,0.8828903045360785,0.002998655510819381,0.7952267802113807,0.7896844926214266,0.800769067801335,0.2874258298694833,0.021054329775719492,-2.5773092993695244,
GroupCalibration,Post-processing,0.8813134728804458,0.0027152491362686555,0.7955787018254897,0.7878246687243236,0.8033327349266562,0.3033639986760619,0.016009494546874253,-8.265366187229478,
