Method,Category,AUROC,AUROC_sd,Bal_Acc,Sens,Spec,TPR_gap,TPR_gap_sd,Pct_Red,Sig
FairConstraints,In-processing,0.8180736724880721,0.003920614014077613,0.7394731760466874,0.7146393941664396,0.7643069579269351,0.017836232137362785,0.011374155796182962,89.32908945143265,★
ExpGrad_TPR,In-processing,0.8193812193128297,0.0009228172988730293,0.7429125470546707,0.7263208484134129,0.7595042456959284,0.018736780618809325,0.017763103507058585,88.7903169003604,★
ExpGrad_EO,In-processing,0.819420751932679,0.001144755510921906,0.7420250500821364,0.7252256011124344,0.7588244990518381,0.01967244753892803,0.01283210653357531,88.23053398595634,★
ThreshOpt_TPR,Post-processing,0.8299179134018558,0.0018687808994080608,0.6983656132975964,0.47277643646753287,0.9239547901276601,0.03837794969178439,0.03385138190059034,77.0395639031529,★
JTT,In-processing,0.6615739651425072,0.013523484943811934,0.6193893928740245,0.43552999894770394,0.8032487868003451,0.038737476356286216,0.012775121952023299,76.82446932223593,★
EqOdds_PP,Post-processing,0.8299179134018558,0.0018687808994080608,0.7170284425584466,0.6588065471531068,0.7752503379637861,0.04748838394778052,0.044071395894274064,71.58905012559941,★
ThreshOpt_EO,Post-processing,0.8299179134018558,0.0018687808994080608,0.6772980127297945,0.4238447160544393,0.9307513094051497,0.04936202634791964,0.015207798505473652,70.46810315104159,★
GridSearch_EO,In-processing,0.7489995368053732,0.008643044703887746,0.6840417480538064,0.6683542698941966,0.6997292262134159,0.06169683966507011,0.015987373733989743,63.08853506026368,★
RejectOption,Post-processing,0.8299179134018558,0.0018687808994080608,0.7413421260997076,0.6488131095991407,0.8338711426002743,0.06909251427212289,0.01944774578927266,58.66391322475534,★
ThreshOpt_DP,Post-processing,0.8299179134018558,0.0018687808994080608,0.6943285465275967,0.4668273850432413,0.921829708011952,0.08669148518190788,0.05471296869891165,48.13494932257765,★
AdvDebiasing,In-processing,0.7785862454993676,0.0032136066564231154,0.7070376435723338,0.6571149384948787,0.756960348649789,0.10045542923229456,0.023836808295974687,39.900372948709126,★
ExpGrad_DP,In-processing,0.8084021887166879,0.0010333588388134135,0.7325541777629425,0.7119261502148879,0.7531822053109971,0.10605417040929414,0.01009690682999551,36.55080529202933,★
PrejudiceRemover,In-processing,0.8130987056145219,0.0036890573539403266,0.7362903756372955,0.7159623293116762,0.7566184219629147,0.1066672632873648,0.03936766399687702,36.18400925520543,★
Reweighing,Pre-processing,0.8296129393524267,0.001697714697189075,0.7490690507530491,0.7366114778998494,0.761526623606249,0.1192308785344615,0.032831615480065954,28.66755547528686,★
GridSearch_TPR,In-processing,0.8155399134570555,0.029582295998208653,0.7393505531887758,0.7464601221522061,0.7322409842253452,0.13460532989701102,0.01584784353572005,19.469458368252766,★
FairSMOTE,Augmentation,0.8302259662681202,0.0021776353851532477,0.7478639602542767,0.7340427289268397,0.7616851915817135,0.14407809463627447,0.030313003415873133,13.80217256473614,★
FairGBM,In-processing,0.8294273895382233,0.0017746398075652358,0.749718524514536,0.720225115812115,0.7792119332169569,0.15242083539043327,0.026239966401416414,8.810947981432484,★
DIR,Pre-processing,0.8291715939687391,0.001581537934362729,0.7455993575707262,0.714638206526671,0.7765605086147815,0.15986323027114974,0.02095296143482336,4.358374734592959,
BASELINE,Baseline,0.8299179134018558,0.0018687808994080608,0.7485687277791582,0.7311760009653192,0.7659614545929976,0.16714817405865565,0.023252780096207674,0.0,
CTGAN,Augmentation,0.8296822655253777,0.0021190170052847986,0.7490909189421586,0.7135385589530158,0.7846432789313015,0.16942078280683717,0.025432077655976975,-1.3596371967449803,
GroupDRO,In-processing,0.8304796166697523,0.0020021971903263977,0.750518777595048,0.7228741446896663,0.7781634105004298,0.17444614101658468,0.03367496910168969,-4.3661661271681185,
CorrelationRemover,Pre-processing,0.8295348294656032,0.001976910686981572,0.7483520591366771,0.7309533878559511,0.7657507304174032,0.1794651926061409,0.027937402753822296,-7.368921986047526,
SampleReweighting,Pre-processing,0.8281106083323992,0.0027199773523480606,0.7472962168387024,0.7259557381965605,0.7686366954808443,0.18324543986113842,0.033014239080352836,-9.630536434597198,
GroupCalibration,Post-processing,0.8282054329484717,0.0023311647407527184,0.7480604792693444,0.7230216360781283,0.7730993224605605,0.1861810147666472,0.031639395125393266,-11.386807433093791,
DecoupledClassifier,In-processing,0.8207117317139965,0.0035241031976280036,0.7399327753290506,0.7206730672001195,0.7591924834579815,0.18728856127837995,0.023860279030169514,-12.049421020092412,
LFR,Pre-processing,0.5471507454854073,0.05994527424662325,0.5364086073166872,0.3302175209122207,0.7425996937211536,0.18979177820293772,0.11895250084131313,-13.547024531859964,
GerryFairClassifier,In-processing,0.8299179134018558,0.0018687808994080608,0.6859480843453863,0.43001899469070654,0.9418771740000661,0.2082399471886268,0.02779747381082749,-24.584039497524643,
