Method,Category,AUROC,AUROC_sd,Bal_Acc,Sens,Spec,TPR_gap,TPR_gap_sd,Pct_Red,Sig
ExpGrad_EO,In-processing,0.7749886914299592,0.0038691020628447525,0.706221374299396,0.6790424829040902,0.7334002656947018,0.01696681720389879,0.015568666544983529,94.36506655181076,★
ExpGrad_TPR,In-processing,0.777245248086032,0.00375415644390391,0.7069550664828673,0.6727814659111353,0.7411286670545997,0.018663394762966235,0.011696594545403304,93.801607800523,★
ThreshOpt_TPR,Post-processing,0.8049421687249317,0.005429679858381871,0.6713958148481128,0.43289064058125,0.9099009891149759,0.0301009155062113,0.02547292948294537,90.00303630500055,★
JTT,In-processing,0.563456952344235,0.019686310422230534,0.5552423492192549,0.18371839133232118,0.9267663071061886,0.04138209639225861,0.037146702928222836,86.25638761149935,★
ThreshOpt_EO,Post-processing,0.8049421687249317,0.005429679858381871,0.6593321711307822,0.40647263967124003,0.9121917025903246,0.041988240385420386,0.037567580885889434,86.05507813663206,★
GridSearch_TPR,In-processing,0.7334550842842826,0.023544263356268604,0.6698364676644271,0.6700119906633144,0.6696609446655399,0.04850242946687529,0.03673761050404026,83.89161863201238,★
FairConstraints,In-processing,0.755130308842064,0.01009192447717239,0.6893805925545015,0.6676828012592494,0.7110783838497536,0.05968200240458079,0.04498953236756242,80.17871545600173,★
EqOdds_PP,Post-processing,0.8049421687249317,0.005429679858381871,0.6708771548038184,0.604979100561302,0.7367752090463345,0.06683696644609319,0.016117606453337215,77.80244501508221,★
RejectOption,Post-processing,0.8049421687249317,0.005429679858381871,0.7168783219286065,0.6275039391308462,0.8062527047263665,0.07316056227634757,0.0330104814807032,75.7022843763183,★
LFR,Pre-processing,0.5584583550568704,0.041318110638562916,0.5470054668606801,0.38752463066414544,0.7064863030572147,0.10195290822371414,0.11095143606195014,66.13991617956717,★
ExpGrad_DP,In-processing,0.7560412130761293,0.004570119294010926,0.6917435467842737,0.6859583446646337,0.6975287489039139,0.13317968170007427,0.032430650370115104,55.76903823431905,★
GridSearch_EO,In-processing,0.7158404094073286,0.008420445720366944,0.6576852337609325,0.6411920869400539,0.6741783805818109,0.1351348835190249,0.06474957094716001,55.119686502926925,★
ThreshOpt_DP,Post-processing,0.8049421687249317,0.005429679858381871,0.6615487528693418,0.41499134467472587,0.9081061610639578,0.14254741857066464,0.04629946816434328,52.65787288188067,★
AdvDebiasing,In-processing,0.7454634218089726,0.0031966844933888194,0.6786485786201688,0.6470758152216856,0.7102213420186521,0.14337292708849259,0.0220163438711443,52.38370917144681,★
Reweighing,Pre-processing,0.8035469267687896,0.004267298646522128,0.7240533689762577,0.7491973043726353,0.6989094335798802,0.18345212799297406,0.023117582401075757,39.07280783743216,★
FairSMOTE,Augmentation,0.8034969647255916,0.00412935137299482,0.7242364686460941,0.7335025305157415,0.7149704067764466,0.2526889482723968,0.02816904060136186,16.078225544818352,★
FairGBM,In-processing,0.8040196236988788,0.004467311702799735,0.7251497271543357,0.7139973837080221,0.736302070600649,0.2654173999888096,0.039519156322950555,11.850916588840752,★
DIR,Pre-processing,0.8045833753655817,0.004140585577860749,0.7242771442864184,0.7200644365803412,0.7284898519924953,0.2736167289238443,0.020478191379572727,9.127796965785215,★
CorrelationRemover,Pre-processing,0.8040209432093282,0.0048168122390219665,0.7251681740534209,0.726455695543724,0.723880652563118,0.277565785546141,0.025064027611654657,7.816256269474815,★
PrejudiceRemover,In-processing,0.7972405943656355,0.0038517258586019836,0.7203063146264482,0.7176710425946184,0.7229415866582778,0.29416517723344665,0.023865101088454792,2.303350324045077,
DecoupledClassifier,In-processing,0.7934963089011903,0.005130271916091961,0.7167268530609675,0.7165793597762884,0.7168743463456466,0.29591954471605103,0.03693152014913511,1.7206986758696405,
SampleReweighting,Pre-processing,0.802313707470845,0.0050466534078090555,0.7237162704106104,0.7172869071001026,0.730145633721118,0.298020783576307,0.033495315839077264,1.022845861520306,
BASELINE,Baseline,0.8049421687249317,0.005429679858381871,0.7232135072341261,0.7322814180052524,0.7141455964629996,0.3011005783812938,0.02671283352089436,0.0,
GroupDRO,In-processing,0.804994479125473,0.005261335264277701,0.725250540897299,0.7053410712035835,0.7451600105910146,0.3045349038463293,0.020478108787773404,-1.1405907897946725,
CTGAN,Augmentation,0.8051220807461951,0.004320734589239839,0.7257543786610766,0.7086965932439,0.7428121640782532,0.30639711868359176,0.03164375474416345,-1.759060155504183,
GerryFairClassifier,In-processing,0.8049421687249317,0.005429679858381871,0.6716353425732909,0.4236556243531438,0.9196150607934379,0.3067700403125588,0.017076204255319114,-1.8829129992854303,
GroupCalibration,Post-processing,0.8032140033724369,0.0056671570928329045,0.724780692973621,0.7260670775094668,0.7234943084377752,0.3344601408574769,0.032425035519196344,-11.07920903225193,
