Method,Category,AUROC,AUROC_sd,Bal_Acc,Sens,Spec,TPR_gap,TPR_gap_sd,Pct_Red,Sig
RejectOption,Post-processing,0.8929855294879495,0.005849937695236977,0.8059834094168259,0.7988277834519912,0.8131390353816605,0.017274390380195424,0.006379728461330776,90.46839332189572,★
ExpGrad_TPR,In-processing,0.8851906720971916,0.0059670580705520745,0.8033804372038376,0.793712614438043,0.8130482599696324,0.024261964700153273,0.02871908540427569,86.61281239626038,★
ExpGrad_EO,In-processing,0.8799169238820891,0.004782630810451737,0.7981275499284627,0.7841183001577847,0.8121367996991408,0.025368490295775724,0.018073460500263684,86.0022573187961,★
ThreshOpt_TPR,Post-processing,0.8929855294879495,0.005849937695236977,0.7922798033530366,0.7062099200413113,0.8783496866647621,0.031087215883100594,0.019282406764338365,82.84679760075683,★
ThreshOpt_EO,Post-processing,0.8929855294879495,0.005849937695236977,0.7880186521399936,0.7192635145781325,0.8567737897018544,0.035261726188967966,0.010323968571963197,80.543399944835,★
EqOdds_PP,Post-processing,0.8929855294879495,0.005849937695236977,0.7649390654784916,0.7075435656948252,0.822334565262158,0.041609015065388257,0.029652717290082186,77.04111362903507,★
GridSearch_EO,In-processing,0.8170983284805761,0.005219802086723363,0.7432897647433727,0.7571001410742261,0.7294793884125197,0.047671936196155486,0.00999913940863278,73.69573481873017,★
FairConstraints,In-processing,0.8649310725929592,0.007311186370995136,0.7847984260643914,0.7960565387661185,0.7735403133626646,0.07035096453189729,0.03235615852782811,61.18197466973512,★
AdvDebiasing,In-processing,0.8565405709266333,0.0033355019099598556,0.777494594563052,0.7788411858395852,0.7761480032865189,0.07140568141365244,0.020999424740312005,60.600006435118146,★
GridSearch_TPR,In-processing,0.8730429781607597,0.021401330230611592,0.7922684464153958,0.7972819698151055,0.7872549230156862,0.09736281687949713,0.09497440434757058,46.277463045433336,★
Reweighing,Pre-processing,0.8924184244270477,0.005440180007216221,0.81026172651775,0.8237695930590373,0.7967538599764626,0.10349553750486198,0.029253311618514147,42.89357049807653,★
LFR,Pre-processing,0.6146014710032975,0.07059414772318635,0.5843829509255264,0.5128699614544271,0.6558959403966259,0.11007498720666711,0.06015341339286193,39.26318324065555,★
JTT,In-processing,0.8535525108294999,0.00258671064884244,0.7629868323397815,0.7815052794793721,0.7444683852001908,0.11771117819799867,0.02679300988942985,35.049710727512526,★
DecoupledClassifier,In-processing,0.8880461995930131,0.005879210580296898,0.806562936194684,0.8130043032356044,0.8001215691537634,0.1325682382188684,0.030109185062796952,26.851930696196824,★
CorrelationRemover,Pre-processing,0.8934863934820332,0.0055369383746289485,0.810064893503419,0.8091142664040017,0.8110155206028364,0.13500190291947495,0.02386347784448568,25.509091139950463,★
ExpGrad_DP,In-processing,0.8624657754970377,0.004782803236707605,0.7816052764623223,0.7775640403434867,0.7856465125811578,0.13915251792242087,0.0163489680806645,23.218878356194235,★
DIR,Pre-processing,0.8925798972370964,0.005780543843631001,0.8085699750621279,0.8094326330192668,0.8077073171049889,0.1401846015806228,0.042435801635535106,22.64939860771303,★
PrejudiceRemover,In-processing,0.8903183751229049,0.005442564410653988,0.8076647428833038,0.8038899030392924,0.8114395827273153,0.14802979582153725,0.038969530657856945,18.32060296445517,★
FairGBM,In-processing,0.8907030556379073,0.005378983572938733,0.8099608356011625,0.814124813478605,0.8057968577237199,0.14990163611305324,0.038250172072533825,17.28776504483669,★
FairSMOTE,Augmentation,0.8926789140681098,0.005510338732541248,0.8091251840152772,0.811725709481825,0.8065246585487292,0.16128982430603017,0.02698510337632807,11.004027775813634,★
SampleReweighting,Pre-processing,0.8917146020417215,0.005933570123484849,0.8108441940552659,0.8221723627368981,0.7995160253736339,0.16130978981913896,0.02467107642396804,10.993011270229875,★
CTGAN,Augmentation,0.8926297118227492,0.005822856745201259,0.8092434118873957,0.8100202933552003,0.8084665304195905,0.17181093290129126,0.038199061648696055,5.198724853944822,
GroupCalibration,Post-processing,0.8923796814377543,0.006335362319879404,0.8103821790209935,0.795152826684463,0.8256115313575236,0.17330272496667753,0.02765763152982204,4.375588702692814,★
GroupDRO,In-processing,0.8928402831051734,0.005887020476688802,0.8083330175601187,0.8060757736781768,0.8105902614420606,0.17795883858531664,0.03310495811273071,1.8064535445390768,
BASELINE,Baseline,0.8929855294879495,0.005849937695236977,0.8104824587840291,0.8002690608686255,0.8206958566994326,0.18123272354363534,0.024434538474621473,0.0,
GerryFairClassifier,In-processing,0.8929855294879495,0.005849937695236977,0.7907582379018667,0.6935784760883724,0.8879379997153609,0.18882602481893732,0.03397386333507883,-4.189806965778857,
ThreshOpt_DP,Post-processing,0.8929855294879495,0.005849937695236977,0.7810958478945778,0.6841459366881579,0.8780457591009976,0.21817569888222693,0.022268706511692667,-20.384274217286617,
