Outcome,Method,Time_sec
EUROD,BASELINE,0.0
EUROD,Reweighing,1.73
EUROD,DIR,3.14
EUROD,LFR,1192.01
EUROD,CorrelationRemover,3.57
EUROD,PrejudiceRemover,49.1
EUROD,ExpGrad_DP,137.58
EUROD,ExpGrad_EO,161.27
EUROD,ExpGrad_TPR,130.08
EUROD,GridSearch_TPR,1304.95
EUROD,GridSearch_EO,1085.98
EUROD,AdvDebiasing,37.65
EUROD,FairGBM,1.78
EUROD,FairConstraints,45.84
EUROD,DecoupledClassifier,2.81
EUROD,GerryFairClassifier,10.11
EUROD,ThreshOpt_TPR,0.35
EUROD,ThreshOpt_EO,0.31
EUROD,ThreshOpt_DP,0.41
EUROD,EqOdds_PP,0.04
EUROD,RejectOption,9.04
EUROD,CTGAN,51.5
EUROD,FairSMOTE,2.68
EUROD,SampleReweighting,1.61
EUROD,GroupCalibration,0.11
EUROD,JTT,1.92
EUROD,GroupDRO,19.26
LS,BASELINE,0.0
LS,Reweighing,1.76
LS,DIR,3.39
LS,LFR,1344.43
LS,CorrelationRemover,5.2
LS,PrejudiceRemover,101.94
LS,ExpGrad_DP,150.88
LS,ExpGrad_EO,220.23
LS,ExpGrad_TPR,141.0
LS,GridSearch_TPR,1406.52
LS,GridSearch_EO,1148.41
LS,AdvDebiasing,37.4
LS,FairGBM,1.88
LS,FairConstraints,50.9
LS,DecoupledClassifier,3.07
LS,GerryFairClassifier,11.23
LS,ThreshOpt_TPR,0.37
LS,ThreshOpt_EO,0.36
LS,ThreshOpt_DP,0.44
LS,EqOdds_PP,0.04
LS,RejectOption,9.42
LS,CTGAN,51.96
LS,FairSMOTE,2.94
LS,SampleReweighting,1.64
LS,GroupCalibration,0.11
LS,JTT,2.0
LS,GroupDRO,20.19
CASP,BASELINE,0.0
CASP,Reweighing,1.73
CASP,DIR,3.28
CASP,LFR,1340.59
CASP,CorrelationRemover,3.28
CASP,PrejudiceRemover,94.0
CASP,ExpGrad_DP,111.59
CASP,ExpGrad_EO,166.98
CASP,ExpGrad_TPR,112.13
CASP,GridSearch_TPR,1442.1
CASP,GridSearch_EO,1108.87
CASP,AdvDebiasing,36.89
CASP,FairGBM,2.05
CASP,FairConstraints,48.7
CASP,DecoupledClassifier,3.19
CASP,GerryFairClassifier,10.3
CASP,ThreshOpt_TPR,0.37
CASP,ThreshOpt_EO,0.35
CASP,ThreshOpt_DP,0.44
CASP,EqOdds_PP,0.04
CASP,RejectOption,9.64
CASP,CTGAN,43.08
CASP,FairSMOTE,5.86
CASP,SampleReweighting,1.73
CASP,GroupCalibration,0.12
CASP,JTT,2.23
CASP,GroupDRO,21.4
SRH,BASELINE,0.0
SRH,Reweighing,1.84
SRH,DIR,3.41
SRH,LFR,1382.29
SRH,CorrelationRemover,3.28
SRH,PrejudiceRemover,106.82
SRH,ExpGrad_DP,104.99
SRH,ExpGrad_EO,192.41
SRH,ExpGrad_TPR,94.65
SRH,GridSearch_TPR,1343.11
SRH,GridSearch_EO,1185.37
SRH,AdvDebiasing,38.19
SRH,FairGBM,2.19
SRH,FairConstraints,53.13
SRH,DecoupledClassifier,4.74
SRH,GerryFairClassifier,8.56
SRH,ThreshOpt_TPR,0.41
SRH,ThreshOpt_EO,0.36
SRH,ThreshOpt_DP,0.48
SRH,EqOdds_PP,0.05
SRH,RejectOption,9.77
SRH,CTGAN,54.33
SRH,FairSMOTE,3.33
SRH,SampleReweighting,1.8
SRH,GroupCalibration,0.11
SRH,JTT,2.15
SRH,GroupDRO,22.4
